subject,trial,fixnum,fixdur,leftval,rightval,rt,choice,roi,revfixnum
13,32,1,956,2,1,5998,0,1,4
13,32,2,1036,2,1,5998,0,2,3
13,32,3,1475,2,1,5998,0,1,2
13,32,4,1496,2,1,5998,0,2,1
13,33,1,679,4,4,15825,0,1,8
13,33,2,2072,4,4,15825,0,2,7
13,33,3,19,4,4,15825,0,1,6
13,33,4,1695,4,4,15825,0,2,5
13,33,5,3429,4,4,15825,0,1,4
13,33,6,877,4,4,15825,0,2,3
13,33,7,977,4,4,15825,0,1,2
13,33,8,4824,4,4,15825,0,2,1
13,34,1,735,1,4,5164,1,1,3
13,34,2,1335,1,4,5164,1,2,2
13,34,3,2851,1,4,5164,1,1,1
13,35,1,1235,1,2,12014,0,1,8
13,35,2,1678,1,2,12014,0,2,7
13,35,3,1977,1,2,12014,0,1,6
13,35,4,754,1,2,12014,0,2,5
13,35,5,119,1,2,12014,0,1,4
13,35,6,2293,1,2,12014,0,2,3
13,35,7,2073,1,2,12014,0,1,2
13,35,8,321,1,2,12014,0,2,1
13,36,1,2888,0,0,5284,1,1,3
13,36,2,667,0,0,5284,1,2,2
13,36,3,967,0,0,5284,1,1,1
13,37,1,1455,2,0,7170,1,1,7
13,37,2,1101,2,0,7170,1,2,6
13,37,3,175,2,0,7170,1,1,5
13,37,4,615,2,0,7170,1,2,4
13,37,5,2315,2,0,7170,1,1,3
13,37,6,756,2,0,7170,1,2,2
13,37,7,339,2,0,7170,1,1,1
13,38,1,2551,4,3,10207,1,1,7
13,38,2,1076,4,3,10207,1,2,6
13,38,3,1595,4,3,10207,1,1,5
13,38,4,553,4,3,10207,1,2,4
13,38,5,1375,4,3,10207,1,1,3
13,38,6,1415,4,3,10207,1,2,2
13,38,7,738,4,3,10207,1,1,1
13,39,1,977,2,2,5170,0,1,6
13,39,2,1057,2,2,5170,0,2,5
13,39,3,597,2,2,5170,0,1,4
13,39,4,1513,2,2,5170,0,2,3
13,39,5,637,2,2,5170,0,1,2
13,39,6,20,2,2,5170,0,2,1
13,40,1,657,2,0,3539,1,1,5
13,40,2,937,2,0,3539,1,2,4
13,40,3,79,2,0,3539,1,1,3
13,40,4,100,2,0,3539,1,2,2
13,40,5,899,2,0,3539,1,1,1
13,41,1,796,0,1,2265,1,1,2
13,41,2,1216,0,1,2265,1,2,1
13,42,1,1156,6,2,5702,1,1,5
13,42,2,938,6,2,5702,1,2,4
13,42,3,439,6,2,5702,1,1,3
13,42,4,1456,6,2,5702,1,2,2
13,42,5,379,6,2,5702,1,1,1
13,43,1,809,4,1,5594,1,1,4
13,43,2,957,4,1,5594,1,2,3
13,43,3,1758,4,1,5594,1,1,2
13,43,4,1735,4,1,5594,1,2,1
13,44,1,1734,2,2,3327,0,1,3
13,44,2,577,2,2,3327,0,2,2
13,44,3,519,2,2,3327,0,1,1
13,45,1,1036,3,2,3654,1,1,4
13,45,2,637,3,2,3654,1,2,3
13,45,3,698,3,2,3654,1,1,2
13,45,4,957,3,2,3654,1,2,1
13,46,1,520,1,0,5344,1,1,5
13,46,2,697,1,0,5344,1,2,4
13,46,3,1595,1,0,5344,1,1,3
13,46,4,698,1,0,5344,1,2,2
13,46,5,738,1,0,5344,1,1,1
13,47,1,498,2,2,9517,0,1,3
13,47,2,7717,2,2,9517,0,2,2
13,47,3,677,2,2,9517,0,1,1
13,48,1,598,1,3,1832,0,1,2
13,48,2,808,1,3,1832,0,2,1
13,49,1,597,1,2,4326,0,1,5
13,49,2,737,1,2,4326,0,2,4
13,49,3,558,1,2,4326,0,1,3
13,49,4,1055,1,2,4326,0,2,2
13,49,5,958,1,2,4326,0,1,1
13,50,1,2372,5,3,12079,1,1,5
13,50,2,4681,5,3,12079,1,2,4
13,50,3,1585,5,3,12079,1,1,3
13,50,4,539,5,3,12079,1,2,2
13,50,5,957,5,3,12079,1,1,1
13,51,1,398,0,1,5578,0,1,6
13,51,2,794,0,1,5578,0,2,5
13,51,3,1136,0,1,5578,0,1,4
13,51,4,836,0,1,5578,0,2,3
13,51,5,1515,0,1,5578,0,1,2
13,51,6,559,0,1,5578,0,2,1
13,52,1,440,2,4,1590,0,1,3
13,52,2,698,2,4,1590,0,2,2
13,52,3,199,2,4,1590,0,1,1
13,53,1,578,2,1,2614,0,2,3
13,53,2,657,2,1,2614,0,1,2
13,53,3,996,2,1,2614,0,2,1
13,54,1,600,2,5,2150,0,1,2
13,54,2,1255,2,5,2150,0,2,1
13,55,1,458,1,1,2359,0,1,3
13,55,2,598,1,1,2359,0,2,2
13,55,3,876,1,1,2359,0,1,1
13,56,1,858,2,2,5442,0,1,6
13,56,2,1197,2,2,5442,0,2,5
13,56,3,836,2,2,5442,0,1,4
13,56,4,338,2,2,5442,0,2,3
13,56,5,1196,2,2,5442,0,1,2
13,56,6,720,2,2,5442,0,2,1
13,57,1,539,5,4,11225,1,1,5
13,57,2,874,5,4,11225,1,2,4
13,57,3,6121,5,4,11225,1,1,3
13,57,4,1814,5,4,11225,1,2,2
13,57,5,1555,5,4,11225,1,1,1
13,58,1,634,1,0,2108,1,1,3
13,58,2,558,1,0,2108,1,2,2
13,58,3,499,1,0,2108,1,1,1
13,59,1,657,2,3,2174,1,1,3
13,59,2,1038,2,3,2174,1,2,2
13,59,3,220,2,3,2174,1,1,1
13,60,1,518,4,0,1882,1,1,2
13,60,2,1155,4,0,1882,1,2,1
13,61,1,2372,1,3,9030,0,1,3
13,61,2,5202,1,3,9030,0,2,2
13,61,3,1137,1,3,9030,0,1,1
13,62,1,537,0,0,943,1,1,2
13,62,2,140,0,0,943,1,2,1
13,63,1,518,3,2,6752,1,1,7
13,63,2,877,3,2,6752,1,2,6
13,63,3,877,3,2,6752,1,1,5
13,63,4,788,3,2,6752,1,2,4
13,63,5,1335,3,2,6752,1,1,3
13,63,6,1076,3,2,6752,1,2,2
13,63,7,917,3,2,6752,1,1,1
13,64,1,555,2,0,2355,1,1,2
13,64,2,1290,2,0,2355,1,2,1
13,65,1,500,4,2,8135,1,1,7
13,65,2,1139,4,2,8135,1,2,6
13,65,3,318,4,2,8135,1,1,5
13,65,4,2113,4,2,8135,1,2,4
13,65,5,1676,4,2,8135,1,1,3
13,65,6,1495,4,2,8135,1,2,2
13,65,7,299,4,2,8135,1,1,1
13,66,1,857,2,0,1917,0,1,2
13,66,2,839,2,0,1917,0,2,1
13,67,1,6717,4,5,9664,0,1,4
13,67,2,1038,4,5,9664,0,2,3
13,67,3,1196,4,5,9664,0,1,2
13,67,4,478,4,5,9664,0,2,1
13,68,1,677,2,0,2398,1,2,2
13,68,2,1495,2,0,2398,1,1,1
13,69,1,400,0,4,1287,0,1,2
13,69,2,678,0,4,1287,0,2,1
13,70,1,520,0,3,1596,0,1,2
13,70,2,837,0,3,1596,0,2,1
13,71,1,1140,3,0,1887,1,1,2
13,71,2,518,3,0,1887,1,2,1
13,72,1,518,2,0,2173,0,2,2
13,72,2,1275,2,0,2173,0,1,1
13,73,1,619,2,4,1504,0,1,2
13,73,2,682,2,4,1504,0,2,1
13,74,1,1135,1,3,2103,0,1,2
13,74,2,758,1,3,2103,0,2,1
13,75,1,518,2,1,2648,1,1,3
13,75,2,658,2,1,2648,1,2,2
13,75,3,1039,2,1,2648,1,1,1
13,76,1,936,5,6,3629,1,1,3
13,76,2,2073,5,6,3629,1,2,2
13,76,3,360,5,6,3629,1,1,1
13,77,1,698,2,0,3659,1,1,3
13,77,2,1654,2,0,3659,1,2,2
13,77,3,1036,2,0,3659,1,1,1
13,78,1,560,1,1,3903,1,1,4
13,78,2,677,1,1,3903,1,2,3
13,78,3,1516,1,1,3903,1,1,2
13,78,4,837,1,1,3903,1,2,1
13,79,1,637,0,2,1677,1,1,2
13,79,2,777,0,2,1677,1,2,1
13,80,1,423,1,4,1024,0,1,2
13,80,2,359,1,4,1024,0,2,1
13,81,1,997,2,1,2237,1,1,2
13,81,2,998,2,1,2237,1,2,1
13,82,1,2807,4,0,5201,0,1,3
13,82,2,1394,4,0,5201,0,2,2
13,82,3,579,4,0,5201,0,1,1
13,83,1,521,5,0,1435,1,1,3
13,83,2,555,5,0,1435,1,2,2
13,83,3,61,5,0,1435,1,1,1
13,84,1,1835,2,3,8584,0,1,8
13,84,2,574,2,3,8584,0,2,7
13,84,3,423,2,3,8584,0,1,6
13,84,4,143,2,3,8584,0,2,5
13,84,5,1156,2,3,8584,0,1,4
13,84,6,3169,2,3,8584,0,2,3
13,84,7,838,2,3,8584,0,1,2
13,84,8,61,2,3,8584,0,2,1
13,85,1,737,0,1,2135,1,1,2
13,85,2,1178,0,1,2135,1,2,1
13,86,1,817,4,2,2029,1,1,2
13,86,2,977,4,2,2029,1,2,1
13,87,1,836,3,2,3619,1,1,4
13,87,2,777,3,2,3619,1,2,3
13,87,3,1036,3,2,3619,1,1,2
13,87,4,658,3,2,3619,1,2,1
13,88,1,519,1,0,1823,1,1,2
13,88,2,1017,1,0,1823,1,2,1
13,89,1,558,1,0,7245,1,1,5
13,89,2,3688,1,0,7245,1,2,4
13,89,3,1357,1,0,7245,1,1,3
13,89,4,936,1,0,7245,1,2,2
13,89,5,378,1,0,7245,1,1,1
13,90,1,1753,5,1,2863,1,1,2
13,90,2,877,5,1,2863,1,2,1
13,91,1,459,0,1,1676,0,1,2
13,91,2,1017,0,1,1676,0,2,1
13,92,1,398,4,3,2210,1,1,3
13,92,2,717,4,3,2210,1,2,2
13,92,3,837,4,3,2210,1,1,1
13,93,1,618,2,3,1988,0,1,2
13,93,2,1177,2,3,1988,0,2,1
13,94,1,517,2,0,1683,1,1,3
13,94,2,458,2,0,1683,1,2,2
13,94,3,459,2,0,1683,1,1,1
13,95,1,537,2,1,1702,1,1,2
13,95,2,876,2,1,1702,1,2,1
13,96,1,438,5,6,1498,0,1,2
13,96,2,838,5,6,1498,0,2,1
13,97,1,478,0,4,2328,0,1,3
13,97,2,1238,0,4,2328,0,2,2
13,97,3,361,0,4,2328,0,1,1
13,98,1,399,2,1,5841,1,1,5
13,98,2,677,2,1,5841,1,2,4
13,98,3,1833,2,1,5841,1,1,3
13,98,4,1636,2,1,5841,1,2,2
13,98,5,478,2,1,5841,1,1,1
13,99,1,836,3,0,2172,1,1,3
13,99,2,419,3,0,2172,1,2,2
13,99,3,541,3,0,2172,1,1,1
13,100,1,837,0,2,2046,1,1,2
13,100,2,935,0,2,2046,1,2,1
16,1,1,275,5,5,1251,0,1,2
16,1,2,660,5,5,1251,0,2,1
16,2,1,219,7,8,1038,0,1,2
16,2,2,519,7,8,1038,0,2,1
16,3,1,239,5,2,1256,1,1,3
16,3,2,359,5,2,1256,1,2,2
16,3,3,280,5,2,1256,1,1,1
16,4,1,152,0,2,1788,0,1,3
16,4,2,538,0,2,1788,0,2,2
16,4,3,737,0,2,1788,0,1,1
16,5,1,232,2,6,2499,1,1,3
16,5,2,877,2,6,2499,1,2,2
16,5,3,1037,2,6,2499,1,1,1
16,6,1,199,5,2,2868,0,1,4
16,6,2,638,5,2,2868,0,2,3
16,6,3,1295,5,2,2868,0,1,2
16,6,4,399,5,2,2868,0,2,1
16,7,1,99,6,5,1421,0,2,3
16,7,2,299,6,5,1421,0,1,2
16,7,3,797,6,5,1421,0,2,1
16,8,1,133,5,6,2446,0,1,4
16,8,2,617,5,6,2446,0,2,3
16,8,3,1276,5,6,2446,0,1,2
16,8,4,20,5,6,2446,0,2,1
16,9,1,63,3,6,1545,0,2,4
16,9,2,239,3,6,1545,0,1,3
16,9,3,757,3,6,1545,0,2,2
16,9,4,60,3,6,1545,0,1,1
16,10,1,151,5,6,3669,0,1,4
16,10,2,521,5,6,3669,0,2,3
16,10,3,1334,5,6,3669,0,1,2
16,10,4,1317,5,6,3669,0,2,1
16,11,1,279,8,6,1818,0,1,3
16,11,2,658,8,6,1818,0,2,2
16,11,3,538,8,6,1818,0,1,1
16,12,1,419,10,6,1181,1,1,2
16,12,2,480,10,6,1181,1,2,1
16,13,1,119,3,8,1195,0,2,3
16,13,2,458,3,8,1195,0,1,2
16,13,3,281,3,8,1195,0,2,1
16,14,1,15,9,10,850,0,2,3
16,14,2,319,9,10,850,0,1,2
16,14,3,199,9,10,850,0,2,1
16,15,1,160,8,4,1262,0,2,3
16,15,2,538,8,4,1262,0,1,2
16,15,3,239,8,4,1262,0,2,1
16,16,1,246,6,3,996,1,1,2
16,16,2,479,6,3,996,1,2,1
16,17,1,239,9,9,1813,1,1,3
16,17,2,479,9,9,1813,1,2,2
16,17,3,777,9,9,1813,1,1,1
16,18,1,259,3,5,4718,0,2,5
16,18,2,639,3,5,4718,0,1,4
16,18,3,556,3,5,4718,0,2,3
16,18,4,1794,3,5,4718,0,1,2
16,18,5,1114,3,5,4718,0,2,1
16,19,1,179,5,10,696,0,1,2
16,19,2,201,5,10,696,0,2,1
16,20,1,175,5,2,5891,1,2,6
16,20,2,439,5,2,5891,1,1,5
16,20,3,1695,5,2,5891,1,2,4
16,20,4,737,5,2,5891,1,1,3
16,20,5,638,5,2,5891,1,2,2
16,20,6,1814,5,2,5891,1,1,1
16,21,1,154,5,10,673,0,1,2
16,21,2,200,5,10,673,0,2,1
16,22,1,239,9,6,1172,1,1,2
16,22,2,638,9,6,1172,1,2,1
16,23,1,199,5,8,1055,0,1,2
16,23,2,519,5,8,1055,0,2,1
16,24,1,258,9,7,1359,0,2,3
16,24,2,538,9,7,1359,0,1,2
16,24,3,220,9,7,1359,0,2,1
16,25,1,199,5,8,1337,0,2,3
16,25,2,378,5,8,1337,0,1,2
16,25,3,458,5,8,1337,0,2,1
16,26,1,242,6,3,1598,1,2,3
16,26,2,792,6,3,1598,1,1,2
16,26,3,100,6,3,1598,1,2,1
16,27,1,171,10,9,818,1,1,2
16,27,2,299,10,9,818,1,2,1
16,28,1,198,6,3,1794,1,1,3
16,28,2,956,6,3,1794,1,2,2
16,28,3,158,6,3,1794,1,1,1
16,29,1,419,10,6,698,1,1,1
16,30,1,173,6,8,692,0,1,2
16,30,2,200,6,8,692,0,2,1
16,31,1,80,2,7,1482,0,2,3
16,31,2,359,2,7,1482,0,1,2
16,31,3,757,2,7,1482,0,2,1
16,32,1,180,2,3,1289,1,1,3
16,32,2,658,2,3,1289,1,2,2
16,32,3,160,2,3,1289,1,1,1
16,33,1,97,2,4,1058,0,2,3
16,33,2,255,2,4,1058,0,1,2
16,33,3,341,2,4,1058,0,2,1
16,34,1,219,6,9,2231,0,2,3
16,34,2,901,6,9,2231,0,1,2
16,34,3,754,6,9,2231,0,2,1
16,35,1,180,6,8,1352,0,2,3
16,35,2,260,6,8,1352,0,1,2
16,35,3,619,6,8,1352,0,2,1
16,36,1,160,5,5,2352,1,1,4
16,36,2,536,5,5,2352,1,2,3
16,36,3,1116,5,5,2352,1,1,2
16,36,4,200,5,5,2352,1,2,1
16,37,1,120,4,5,1021,1,2,3
16,37,2,366,4,5,1021,1,1,2
16,37,3,282,4,5,1021,1,2,1
16,38,1,60,3,2,1363,1,2,4
16,38,2,298,3,2,1363,1,1,3
16,38,3,518,3,2,1363,1,2,2
16,38,4,161,3,2,1363,1,1,1
16,39,1,158,2,6,1699,1,1,3
16,39,2,474,2,6,1699,1,2,2
16,39,3,717,2,6,1699,1,1,1
16,40,1,180,3,6,2748,0,1,4
16,40,2,1455,3,6,2748,0,2,3
16,40,3,515,3,6,2748,0,1,2
16,40,4,120,3,6,2748,0,2,1
16,41,1,559,6,7,2726,1,1,5
16,41,2,441,6,7,2726,1,2,4
16,41,3,233,6,7,2726,1,1,3
16,41,4,239,6,7,2726,1,2,2
16,41,5,678,6,7,2726,1,1,1
16,42,1,239,5,5,2960,0,2,3
16,42,2,618,5,5,2960,0,1,2
16,42,3,1735,5,5,2960,0,2,1
16,43,1,160,2,2,3257,1,2,5
16,43,2,778,2,2,3257,1,1,4
16,43,3,918,2,2,3257,1,2,3
16,43,4,334,2,2,3257,1,1,2
16,43,5,519,2,2,3257,1,2,1
16,44,1,151,10,7,1716,1,1,3
16,44,2,338,10,7,1716,1,2,2
16,44,3,759,10,7,1716,1,1,1
16,45,1,200,9,8,1646,1,1,3
16,45,2,298,9,8,1646,1,2,2
16,45,3,798,9,8,1646,1,1,1
16,46,1,42,5,6,2453,0,2,6
16,46,2,11,5,6,2453,0,1,5
16,46,3,382,5,6,2453,0,2,4
16,46,4,499,5,6,2453,0,1,3
16,46,5,937,5,6,2453,0,2,2
16,46,6,184,5,6,2453,0,1,1
16,47,1,99,9,6,5252,1,2,7
16,47,2,195,9,6,5252,1,1,6
16,47,3,518,9,6,5252,1,2,5
16,47,4,1136,9,6,5252,1,1,4
16,47,5,956,9,6,5252,1,2,3
16,47,6,1315,9,6,5252,1,1,2
16,47,7,579,9,6,5252,1,2,1
16,48,1,47,6,5,1465,1,2,5
16,48,2,78,6,5,1465,1,1,4
16,48,3,158,6,5,1465,1,2,3
16,48,4,198,6,5,1465,1,1,2
16,48,5,499,6,5,1465,1,2,1
16,49,1,19,7,2,1355,1,2,4
16,49,2,131,7,2,1355,1,1,3
16,49,3,398,7,2,1355,1,2,2
16,49,4,81,7,2,1355,1,1,1
16,50,1,272,6,2,1379,0,2,3
16,50,2,478,6,2,1379,0,1,2
16,50,3,240,6,2,1379,0,2,1
16,51,1,572,6,10,875,0,2,1
16,52,1,100,5,3,1277,0,1,4
16,52,2,223,5,3,1277,0,2,3
16,52,3,495,5,3,1277,0,1,2
16,52,4,80,5,3,1277,0,2,1
16,53,1,139,6,6,867,1,2,2
16,53,2,538,6,6,867,1,1,1
16,54,1,638,8,8,2134,0,1,2
16,54,2,1196,8,8,2134,0,2,1
16,55,1,297,6,9,1567,0,2,3
16,55,2,539,6,9,1567,0,1,2
16,55,3,359,6,9,1567,0,2,1
16,56,1,219,8,5,1213,1,2,2
16,56,2,678,8,5,1213,1,1,1
16,57,1,398,7,9,3139,0,1,5
16,57,2,538,7,9,3139,0,2,4
16,57,3,739,7,9,3139,0,1,3
16,57,4,738,7,9,3139,0,2,2
16,57,5,360,7,9,3139,0,1,1
16,58,1,192,3,7,1347,0,1,3
16,58,2,318,3,7,1347,0,2,2
16,58,3,499,3,7,1347,0,1,1
16,59,1,156,2,5,1307,0,1,2
16,59,2,838,2,5,1307,0,2,1
16,60,1,18,9,8,1266,1,2,3
16,60,2,438,9,8,1266,1,1,2
16,60,3,379,9,8,1266,1,2,1
16,61,1,17,2,6,2430,0,2,4
16,61,2,518,2,6,2430,0,1,3
16,61,3,718,2,6,2430,0,2,2
16,61,4,658,2,6,2430,0,1,1
16,62,1,277,9,6,1396,0,2,3
16,62,2,418,9,6,1396,0,1,2
16,62,3,359,9,6,1396,0,2,1
16,63,1,179,5,5,1187,0,2,3
16,63,2,299,5,5,1187,0,1,2
16,63,3,180,5,5,1187,0,2,1
16,64,1,159,6,9,1687,0,2,3
16,64,2,458,6,9,1687,0,1,2
16,64,3,817,6,9,1687,0,2,1
16,65,1,219,5,0,1134,1,2,2
16,65,2,619,5,0,1134,1,1,1
16,66,1,159,6,7,1629,0,1,2
16,66,2,1116,6,7,1629,0,2,1
16,67,1,857,5,9,1054,0,2,1
16,68,1,159,8,10,1516,0,1,4
16,68,2,299,8,10,1516,0,2,3
16,68,3,259,8,10,1516,0,1,2
16,68,4,439,8,10,1516,0,2,1
16,69,1,159,7,10,1444,0,2,3
16,69,2,419,7,10,1444,0,1,2
16,69,3,438,7,10,1444,0,2,1
16,70,1,23,7,6,1793,0,2,5
16,70,2,271,7,6,1793,0,1,4
16,70,3,340,7,6,1793,0,2,3
16,70,4,578,7,6,1793,0,1,2
16,70,5,100,7,6,1793,0,2,1
16,71,1,173,5,8,3844,0,2,3
16,71,2,336,5,8,3844,0,1,2
16,71,3,2957,5,8,3844,0,2,1
16,72,1,193,0,2,1247,0,2,3
16,72,2,498,0,2,1247,0,1,2
16,72,3,240,0,2,1247,0,2,1
16,73,1,219,8,4,1153,1,2,2
16,73,2,678,8,4,1153,1,1,1
16,74,1,118,9,6,1575,1,2,4
16,74,2,22,9,6,1575,1,1,3
16,74,3,594,9,6,1575,1,2,2
16,74,4,155,9,6,1575,1,1,1
16,75,1,160,5,0,2018,1,2,4
16,75,2,298,5,0,2018,1,1,3
16,75,3,578,5,0,2018,1,2,2
16,75,4,619,5,0,2018,1,1,1
16,76,1,378,8,10,1002,0,2,3
16,76,2,256,8,10,1002,0,1,2
16,76,3,83,8,10,1002,0,2,1
16,77,1,300,2,2,2051,0,1,3
16,77,2,537,2,2,2051,0,2,2
16,77,3,877,2,2,2051,0,1,1
16,78,1,199,3,6,2490,0,1,4
16,78,2,378,3,6,2490,0,2,3
16,78,3,957,3,6,2490,0,1,2
16,78,4,577,3,6,2490,0,2,1
16,79,1,139,6,5,2328,1,2,4
16,79,2,379,6,5,2328,1,1,3
16,79,3,538,6,5,2328,1,2,2
16,79,4,579,6,5,2328,1,1,1
16,80,1,18,5,10,1006,0,2,4
16,80,2,135,5,10,1006,0,1,3
16,80,3,319,5,10,1006,0,2,2
16,80,4,160,5,10,1006,0,1,1
16,81,1,178,6,10,1301,0,2,3
16,81,2,160,6,10,1301,0,1,2
16,81,3,619,6,10,1301,0,2,1
16,82,1,199,6,10,5621,0,2,9
16,82,2,200,6,10,5621,0,1,8
16,82,3,618,6,10,5621,0,2,7
16,82,4,738,6,10,5621,0,1,6
16,82,5,858,6,10,5621,0,2,5
16,82,6,296,6,10,5621,0,1,4
16,82,7,338,6,10,5621,0,2,3
16,82,8,499,6,10,5621,0,1,2
16,82,9,1295,6,10,5621,0,2,1
16,83,1,159,6,10,1293,0,2,3
16,83,2,439,6,10,1293,0,1,2
16,83,3,379,6,10,1293,0,2,1
16,84,1,259,7,6,1385,1,1,2
16,84,2,618,7,6,1385,1,2,1
16,85,1,378,10,5,869,1,1,2
16,85,2,140,10,5,869,1,2,1
16,86,1,160,5,0,1749,1,1,3
16,86,2,1036,5,0,1749,1,2,2
16,86,3,180,5,0,1749,1,1,1
16,87,1,314,8,5,772,1,1,2
16,87,2,99,8,5,772,1,2,1
16,88,1,173,7,9,1277,0,1,2
16,88,2,742,7,9,1277,0,2,1
16,89,1,179,7,6,1256,1,1,3
16,89,2,339,7,6,1256,1,2,2
16,89,3,439,7,6,1256,1,1,1
16,90,1,138,9,10,1094,0,1,4
16,90,2,220,9,10,1094,0,2,3
16,90,3,239,9,10,1094,0,1,2
16,90,4,160,9,10,1094,0,2,1
16,91,1,219,5,10,1420,0,2,3
16,91,2,419,5,10,1420,0,1,2
16,91,3,459,5,10,1420,0,2,1
16,92,1,172,6,6,1163,0,2,3
16,92,2,334,6,6,1163,0,1,2
16,92,3,316,6,6,1163,0,2,1
16,93,1,140,7,8,3523,1,2,6
16,93,2,479,7,8,3523,1,1,5
16,93,3,1158,7,8,3523,1,2,4
16,93,4,595,7,8,3523,1,1,3
16,93,5,678,7,8,3523,1,2,2
16,93,6,80,7,8,3523,1,1,1
16,94,1,199,9,9,1450,0,1,2
16,94,2,936,9,9,1450,0,2,1
16,95,1,159,10,5,860,1,2,2
